# NIST X-ray attenuation tables (physics.nist.gov/PhysRefData/XrayMassCoef).
# Verified 2026-09-13 against the NIST website: all 92 elements and
# Air match row for row to the published 4 significant figures.
# One row per tabulated energy per element; elements H through U plus Air.
# energy_keV in keV; mass_attenuation and mass_energy_absorption in cm^2/g.
element,energy_keV,mass_attenuation,mass_energy_absorption
He,15,0.2092,0.01246
He,20,0.196,0.00941
He,30,0.1838,0.01003
He,40,0.1763,0.0119
He,50,0.1703,0.01375
He,60,0.1651,0.01544
He,80,0.1562,0.01826
He,100,0.1486,0.02047
He,150,0.1336,0.02424
He,200,0.1224,0.02647
He,300,0.1064,0.02868
He,400,0.09535,0.02951
He,500,0.08707,0.02971
He,600,0.08054,0.02959
He,800,0.07076,0.0289
He,1000,0.06362,0.02797
He,1250,0.05688,0.02674
He,1500,0.05173,0.02555
He,2000,0.04422,0.02343
He,3000,0.03503,0.02019
He,4000,0.02949,0.0179
He,5000,0.02577,0.01622
He,6000,0.02307,0.01493
He,8000,0.0194,0.01308
He,10000,0.01703,0.01183
He,15000,0.01363,0.009948
He,20000,0.01183,0.008914
Hf,1,3335,3324
Hf,1.5,1489,1478
Hf,1.6617,1203,1192
Hf,1.6617,1505,1489
Hf,1.68883,2189,2160
Hf,1.7164,3273,3225
Hf,1.7164,3682,3628
Hf,2,3598,3546
Hf,2.1076,3152,3108
Hf,2.1076,3659,3607
Hf,2.23278,3182,3137
Hf,2.3654,2769,2731
Hf,2.3654,2943,2903
Hf,2.48036,2637,2601
Hf,2.6009,2363,2331
Hf,2.6009,2465,2432
Hf,3,1768,1745
Hf,4,885.9,872
Hf,5,511.3,501.3
Hf,6,324.4,316.4
Hf,8,157.1,151.2
Hf,9.5607,99.97,95.1
Hf,9.5607,255.7,218.4
Hf,10,230.1,197.5
Hf,10.7394,189.4,163.9
Hf,10.7394,258.9,215.1
Hf,11.0018,252.2,204.2
Hf,11.2707,230.6,192.8
Hf,11.2707,265.9,221.2
Hf,15,129,111.1
Hf,20,60.87,53.53
Hf,30,20.98,18.51
Hf,40,9.828,8.542
Hf,50,5.478,4.651
Hf,60,3.42,2.82
Hf,65.3508,2.751,2.228
Hf,65.3508,12.37,3.557
Hf,80,7.352,2.958
Hf,100,4.154,2.075
Hf,150,1.477,0.8973
Hf,200,0.7339,0.4645
Hf,300,0.3054,0.1853
Hf,400,0.1834,0.1035
Hf,500,0.1324,0.07044
Hf,600,0.1058,0.05409
Hf,800,0.0788,0.03886
Hf,1000,0.06502,0.03188
Hf,1250,0.05505,0.02708
Hf,1500,0.04944,0.02447
Hf,2000,0.04387,0.0223
Hf,3000,0.0403,0.02212
Hf,4000,0.03989,0.02338
Hf,5000,0.04052,0.02483
Hf,6000,0.04155,0.0262
Hf,8000,0.04409,0.02855
Hf,10000,0.04677,0.0304
Hf,15000,0.05301,0.0333
Hf,20000,0.05796,0.03445
Hg,1,4830,4817
Hg,1.5,2174,2161
Hg,2,1184,1172
Hg,2.2949,877.3,866
Hg,2.2949,992.5,977.8
Hg,2.33947,1407,1378
Hg,2.3849,2151,2101
Hg,2.3849,2316,2261
Hg,2.60577,2257,2202
Hg,2.8471,2080,2030
Hg,2.8471,2400,2343
Hg,3,2117,2069
Hg,3.2785,1704,1666
Hg,3.2785,1808,1767
Hg,3.41712,1638,1600
Hg,3.5616,1486,1454
Hg,3.5616,1549,1515
Hg,4,1179,1153
Hg,5,686.9,671
Hg,6,438.7,427.2
Hg,8,214,206.5
Hg,10,122.1,116.4
Hg,12.2839,72.66,68.21
Hg,12.2839,178,143.7
Hg,13.2113,146.4,119.7
Hg,14.2087,120.9,99.88
Hg,14.2087,166.3,128.9
Hg,14.5206,167.4,123.3
Hg,14.8393,150.1,117.3
Hg,14.8393,172.8,134
Hg,15,168.1,130.7
Hg,20,81.23,66.47
Hg,30,28.41,24.1
Hg,40,13.42,11.41
Hg,50,7.504,6.321
Hg,60,4.683,3.878
Hg,80,2.259,1.782
Hg,83.1023,2.055,1.607
Hg,83.1023,8.464,2.384
Hg,100,5.279,2.043
Hg,150,1.909,1.036
Hg,200,0.9456,0.5661
Hg,300,0.3834,0.2342
Hg,400,0.2224,0.1304
Hg,500,0.1555,0.08711
Hg,600,0.121,0.06536
Hg,800,0.08679,0.04493
Hg,1000,0.06993,0.03563
Hg,1250,0.05814,0.02936
Hg,1500,0.05179,0.02605
Hg,2000,0.04575,0.02339
Hg,3000,0.04207,0.02307
Hg,4000,0.04172,0.02436
Hg,5000,0.04246,0.02586
Hg,6000,0.04362,0.0273
Hg,8000,0.04643,0.02975
Hg,10000,0.04937,0.03165
Hg,15000,0.05613,0.0346
Hg,20000,0.06154,0.03576
Ho,1,2616,2605
Ho,1.1625,1961,1951
Ho,1.3514,1462,1452
Ho,1.3514,2108,2091
Ho,1.3713,3193,3164
Ho,1.3915,4528,4485
Ho,1.3915,5239,5187
Ho,1.5,5847,5790
Ho,1.7412,4038,4001
Ho,1.7412,4677,4633
Ho,1.82975,4161,4122
Ho,1.9228,3703,3669
Ho,1.9228,3934,3898
Ho,2,3590,3558
Ho,2.1283,3127,3099
Ho,2.1283,3266,3236
Ho,3,1465,1450
Ho,4,726.4,716.4
Ho,5,417,409.1
Ho,6,263.6,257
Ho,8,127.1,122
Ho,8.0711,124.2,119.2
Ho,8.0711,328.3,289.7
Ho,8.48389,288.9,256
Ho,8.9178,254,226
Ho,8.9178,346.3,299.4
Ho,9.1529,325.9,282.5
Ho,9.3942,305.1,265.2
Ho,9.3942,352,304.4
Ho,10,301.2,262.3
Ho,15,106,95.21
Ho,20,49.8,45.04
Ho,30,17.01,15.21
Ho,40,7.94,6.928
Ho,50,4.425,3.74
Ho,55.6177,3.361,2.783
Ho,55.6177,15.92,4.697
Ho,60,13.09,4.466
Ho,80,6.244,3.015
Ho,100,3.492,1.961
Ho,150,1.236,0.7901
Ho,200,0.6178,0.3984
Ho,300,0.2639,0.157
Ho,400,0.1629,0.08869
Ho,500,0.1205,0.06145
Ho,600,0.098,0.04811
Ho,800,0.07477,0.03571
Ho,1000,0.06257,0.02997
Ho,1250,0.05351,0.02593
Ho,1500,0.04828,0.02369
Ho,2000,0.04289,0.02175
Ho,3000,0.0393,0.02161
Ho,4000,0.03877,0.02279
Ho,5000,0.03927,0.02417
Ho,6000,0.0402,0.02549
Ho,8000,0.04253,0.02777
Ho,10000,0.04504,0.02958
Ho,15000,0.05088,0.03245
Ho,20000,0.05551,0.03363
I,1,9096,9078
I,1.03542,8465,8448
I,1.0721,7863,7847
I,1.0721,8198,8181
I,1.5,3919,3908
I,2,1997,1988
I,3,742,735.1
I,4,360.7,354.8
I,4.5571,259.2,253.7
I,4.5571,755,712.1
I,4.70229,712.3,672.4
I,4.8521,663.6,627
I,4.8521,894.3,837.5
I,5,843,790.3
I,5.1881,766.5,719.8
I,5.1881,883.7,828.3
I,6,617.3,582.2
I,8,292.2,277.7
I,10,162.6,154.8
I,15,55.12,52.08
I,20,25.43,23.63
I,30,8.561,7.622
I,33.1694,6.553,5.744
I,33.1694,35.82,11.88
I,40,22.1,9.616
I,50,12.32,6.573
I,60,7.579,4.518
I,80,3.51,2.331
I,100,1.942,1.342
I,150,0.6978,0.4742
I,200,0.3663,0.2295
I,300,0.1771,0.09257
I,400,0.1217,0.0565
I,500,0.09701,0.04267
I,600,0.08313,0.03598
I,800,0.06749,0.02962
I,1000,0.05841,0.02646
I,1250,0.05111,0.02399
I,1500,0.04647,0.02243
I,2000,0.04124,0.02092
I,3000,0.03716,0.02059
I,4000,0.03607,0.02142
I,5000,0.03608,0.0225
I,6000,0.03655,0.02357
I,8000,0.03815,0.02553
I,10000,0.04002,0.02714
I,15000,0.04455,0.0298
I,20000,0.04823,0.03101
In,1,7809,7797
In,1.5,3131,3122
In,2,1578,1570
In,3,580.8,574.3
In,3.7301,335.6,329.8
In,3.7301,1046,998.9
In,3.83264,993,946.5
In,3.938,931.3,890.5
In,3.938,1261,1199
In,4,1231,1170
In,4.2375,1066,1016
In,4.2375,1223,1164
In,5,813.4,778
In,6,507.2,487.1
In,8,239.1,230.1
In,10,132.1,126.9
In,15,44.45,42.06
In,20,20.44,18.93
In,27.9399,8.316,7.395
In,27.9399,47.33,16.7
In,30,39.49,15.53
In,40,18.73,9.911
In,50,10.3,6.262
In,60,6.306,4.135
In,80,2.907,2.043
In,100,1.609,1.15
In,150,0.5876,0.396
In,200,0.3167,0.1913
In,300,0.1614,0.07923
In,400,0.1149,0.05031
In,500,0.09371,0.03932
In,600,0.08138,0.03398
In,800,0.06707,0.02883
In,1000,0.05849,0.02615
In,1250,0.05144,0.02398
In,1500,0.04684,0.02254
In,2000,0.04151,0.02105
In,3000,0.03715,0.0206
In,4000,0.03582,0.02127
In,5000,0.03564,0.02223
In,6000,0.03596,0.02321
In,8000,0.0373,0.02502
In,10000,0.03898,0.02653
In,15000,0.04311,0.02903
In,20000,0.04654,0.0302
Ir,1,4243,4230
Ir,1.5,1898,1886
Ir,2,1032,1021
Ir,2.0404,988.2,977.1
Ir,2.0404,1066,1053
Ir,2.0779,1492,1466
Ir,2.1161,2478,2429
Ir,2.1161,2608,2556
Ir,2.32326,2621,2566
Ir,2.5507,2424,2376
Ir,2.5507,2800,2744
Ir,2.72382,2393,2345
Ir,2.9087,2041,2002
Ir,2.9087,2166,2125
Ir,3,2011,1973
Ir,3.1737,1767,1734
Ir,3.1737,1843,1809
Ir,4,1063,1043
Ir,5,617.8,604.7
Ir,6,393.5,383.7
Ir,8,191.4,184.6
Ir,10,109,103.8
Ir,11.2154,81.55,76.95
Ir,11.2154,203.8,168.1
Ir,11.9928,170.2,141.8
Ir,12.8241,142.6,119.9
Ir,12.8241,195.9,155.9
Ir,13.1179,193.3,148.6
Ir,13.4185,175.6,140.9
Ir,13.4185,202.5,161.3
Ir,15,153,124.4
Ir,20,73.17,61.79
Ir,30,25.46,21.98
Ir,40,11.99,10.3
Ir,50,6.693,5.667
Ir,60,4.176,3.46
Ir,76.111,2.284,1.81
Ir,76.111,9.728,2.758
Ir,80,8.585,2.694
Ir,100,4.855,2.093
Ir,150,1.74,0.9903
Ir,200,0.8628,0.529
Ir,300,0.3525,0.2155
Ir,400,0.2068,0.1199
Ir,500,0.1463,0.08054
Ir,600,0.1149,0.06088
Ir,800,0.08357,0.0425
Ir,1000,0.06794,0.03412
Ir,1250,0.05688,0.02843
Ir,1500,0.05083,0.02541
Ir,2000,0.04501,0.02295
Ir,3000,0.04139,0.02269
Ir,4000,0.04104,0.02398
Ir,5000,0.04174,0.02546
Ir,6000,0.04286,0.02687
Ir,8000,0.04558,0.02927
Ir,10000,0.04844,0.03115
Ir,15000,0.05502,0.03405
Ir,20000,0.06024,0.03516
K,1,4058,4053
K,1.5,1418,1415
K,2,659.2,656.3
K,3,219.8,217.4
K,3.6074,132.7,130.6
K,3.6074,1201,1065
K,4,925.6,830.4
K,5,518.9,475.2
K,6,320.5,297.4
K,8,146.9,138.3
K,10,79.07,74.9
K,15,25.03,23.7
K,20,10.93,10.23
K,30,3.413,3.045
K,40,1.541,1.272
K,50,0.8679,0.6454
K,60,0.5678,0.373
K,80,0.3251,0.1628
K,100,0.2345,0.09161
K,150,0.1582,0.04346
K,200,0.1319,0.03378
K,300,0.108,0.03015
K,400,0.09495,0.02959
K,500,0.086,0.02929
K,600,0.07922,0.02895
K,800,0.06929,0.02807
K,1000,0.06216,0.02707
K,1250,0.05556,0.02581
K,1500,0.05068,0.02467
K,2000,0.04399,0.0229
K,3000,0.03666,0.02084
K,4000,0.03282,0.01985
K,5000,0.03054,0.01935
K,6000,0.02915,0.01914
K,8000,0.02766,0.0191
K,10000,0.02704,0.01928
K,15000,0.02687,0.01983
K,20000,0.02737,0.02029
Kr,1,2854,2848
Kr,1.5,1093,1087
Kr,1.6749,836.1,830.5
Kr,1.6749,3909,3842
Kr,1.70085,3409,3352
Kr,1.7272,3166,3114
Kr,1.7272,4566,4484
Kr,1.82152,4014,3945
Kr,1.921,3482,3425
Kr,1.921,3948,3882
Kr,2,3599,3541
Kr,3,1305,1288
Kr,4,618.6,610.1
Kr,5,342.5,337.1
Kr,6,210.1,206
Kr,8,96.51,93.71
Kr,10,52.57,50.44
Kr,14.3256,19.71,18.36
Kr,14.3256,131.3,66.04
Kr,15,116.8,61.12
Kr,20,55.48,35.09
Kr,30,18.54,13.65
Kr,40,8.389,6.538
Kr,50,4.523,3.596
Kr,60,2.739,2.178
Kr,80,1.267,0.9729
Kr,100,0.7221,0.5192
Kr,150,0.2998,0.1731
Kr,200,0.1872,0.08787
Kr,300,0.1186,0.04459
Kr,400,0.0948,0.03414
Kr,500,0.08226,0.03023
Kr,600,0.0741,0.02825
Kr,800,0.0634,0.02603
Kr,1000,0.05631,0.02456
Kr,1250,0.05005,0.0231
Kr,1500,0.04569,0.02197
Kr,2000,0.0402,0.02055
Kr,3000,0.03501,0.01961
Kr,4000,0.03286,0.01969
Kr,5000,0.03196,0.02014
Kr,6000,0.03168,0.02071
Kr,8000,0.03199,0.02192
Kr,10000,0.0328,0.02302
Kr,15000,0.03518,0.02497
Kr,20000,0.03741,0.0261
La,1,9087,9061
La,1.05991,7988,7965
La,1.1234,7000,6979
La,1.1234,8025,8001
La,1.1632,7447,7425
La,1.2044,6911,6890
La,1.2044,7321,7298
La,1.28045,6440,6419
La,1.3613,5652,5634
La,1.3613,5905,5886
La,1.5,4772,4755
La,2,2464,2453
La,3,926.7,919
La,4,453.1,446.8
La,5,257.8,252.4
La,5.4827,203.9,198.8
La,5.4827,576.4,535.6
La,5.68299,530.2,493.5
La,5.8906,484.6,451.7
La,5.8906,654.5,602.3
La,6,631.9,581.9
La,6.2663,565.4,522.1
La,6.2663,651.8,600.3
La,8,352.9,329
La,10,196.7,184.7
La,15,67.31,63.21
La,20,31.19,28.97
La,30,10.52,9.444
La,38.9246,5.271,4.554
La,38.9246,27.72,8.785
La,40,25.79,8.608
La,50,14.47,6.56
La,60,8.962,4.756
La,80,4.177,2.587
La,100,2.315,1.532
La,150,0.8239,0.5576
La,200,0.4239,0.2718
La,300,0.1961,0.1079
La,400,0.1301,0.06382
La,500,0.1015,0.04677
La,600,0.0857,0.03849
La,800,0.06843,0.03073
La,1000,0.05876,0.027
La,1250,0.0511,0.02418
La,1500,0.0464,0.02249
La,2000,0.04122,0.0209
La,3000,0.03737,0.02068
La,4000,0.03646,0.02161
La,5000,0.03664,0.0228
La,6000,0.03726,0.02395
La,8000,0.03907,0.02602
La,10000,0.04113,0.02769
La,15000,0.04603,0.03043
La,20000,0.04996,0.03163
Li,1,233.9,233.5
Li,1.5,66.68,66.29
Li,2,27.07,26.72
Li,3,7.549,7.249
Li,4,3.114,2.84
Li,5,1.619,1.364
Li,6,0.9875,0.7477
Li,8,0.5054,0.2888
Li,10,0.3395,0.1387
Li,15,0.2176,0.0391
Li,20,0.1856,0.01885
Li,30,0.1644,0.01138
Li,40,0.1551,0.01131
Li,50,0.1488,0.01237
Li,60,0.1438,0.01361
Li,80,0.1356,0.01588
Li,100,0.1289,0.01776
Li,150,0.1158,0.02098
Li,200,0.106,0.0229
Li,300,0.0921,0.02481
Li,400,0.08249,0.02552
Li,500,0.07532,0.02569
Li,600,0.06968,0.02559
Li,800,0.06121,0.02499
Li,1000,0.05503,0.02419
Li,1250,0.04921,0.02312
Li,1500,0.04476,0.0221
Li,2000,0.0383,0.02028
Li,3000,0.03043,0.01753
Li,4000,0.02572,0.01561
Li,5000,0.02257,0.01422
Li,6000,0.0203,0.01316
Li,8000,0.01725,0.01167
Li,10000,0.01529,0.01066
Li,15000,0.01252,0.009182
Li,20000,0.01109,0.008385
Lu,1,3187,3175
Lu,1.5,1424,1413
Lu,1.5885,1264,1253
Lu,1.5885,1597,1581
Lu,1.61375,2302,2273
Lu,1.6394,3442,3396
Lu,1.6394,3935,3881
Lu,2,3452,3406
Lu,2.0236,3352,3307
Lu,2.0236,3890,3838
Lu,2.14019,3397,3352
Lu,2.2635,2969,2931
Lu,2.2635,3155,3115
Lu,2.37462,2826,2790
Lu,2.4912,2531,2499
Lu,2.4912,2640,2607
Lu,3,1710,1688
Lu,4,856,843
Lu,5,493.4,483.9
Lu,6,312.9,305.1
Lu,8,151.3,145.6
Lu,9.2441,104.9,99.94
Lu,9.2441,270.3,232.4
Lu,10,221.1,191.6
Lu,10.3486,201.9,175.6
Lu,10.3486,275.7,231
Lu,10.6063,267.6,219
Lu,10.8704,245,206.5
Lu,10.8704,282.6,236.9
Lu,15,124.7,108.4
Lu,20,58.81,52.06
Lu,30,20.23,17.91
Lu,40,9.472,8.242
Lu,50,5.279,4.48
Lu,60,3.297,2.712
Lu,63.3138,2.874,2.339
Lu,63.3138,13.05,3.77
Lu,80,7.161,3
Lu,100,4.033,2.067
Lu,150,1.433,0.8805
Lu,200,0.713,0.4534
Lu,300,0.2981,0.1803
Lu,400,0.1799,0.1009
Lu,500,0.1305,0.06886
Lu,600,0.1046,0.05306
Lu,800,0.07829,0.03836
Lu,1000,0.06478,0.03161
Lu,1250,0.05496,0.02695
Lu,1500,0.04941,0.02441
Lu,2000,0.04385,0.02228
Lu,3000,0.04028,0.02212
Lu,4000,0.03985,0.02337
Lu,5000,0.04045,0.02481
Lu,6000,0.04147,0.02618
Lu,8000,0.04398,0.02853
Lu,10000,0.04664,0.03038
Lu,15000,0.05282,0.03329
Lu,20000,0.05773,0.03446
Mg,1,922.5,920.3
Mg,1.14237,647.4,645.2
Mg,1.305,453,450.9
Mg,1.305,5444,5310
Mg,1.5,4004,3918
Mg,2,1932,1899
Mg,3,658.5,649.9
Mg,4,297.4,293.7
Mg,5,158.3,156.1
Mg,6,93.81,92.27
Mg,8,40.61,39.65
Mg,10,21.05,20.36
Mg,15,6.358,5.925
Mg,20,2.763,2.432
Mg,30,0.9306,0.6855
Mg,40,0.4881,0.2815
Mg,50,0.3292,0.1451
Mg,60,0.257,0.0882
Mg,80,0.1951,0.04671
Mg,100,0.1686,0.0341
Mg,150,0.1394,0.02766
Mg,200,0.1245,0.02761
Mg,300,0.1065,0.02871
Mg,400,0.09492,0.02928
Mg,500,0.08647,0.02938
Mg,600,0.07988,0.02921
Mg,800,0.07008,0.02848
Mg,1000,0.06296,0.02753
Mg,1250,0.05629,0.02629
Mg,1500,0.05129,0.02514
Mg,2000,0.04426,0.02322
Mg,3000,0.03613,0.02067
Mg,4000,0.03159,0.01915
Mg,5000,0.02873,0.01819
Mg,6000,0.02681,0.01756
Mg,8000,0.02445,0.01683
Mg,10000,0.02313,0.01646
Mg,15000,0.02168,0.01614
Mg,20000,0.02127,0.01609
Mn,1,8093,8069
Mn,1.5,2984,2975
Mn,2,1421,1415
Mn,3,485.1,481.5
Mn,4,222.9,220.1
Mn,5,121.2,118.8
Mn,6,73.5,71.5
Mn,6.539,58.03,56.19
Mn,6.539,452,341.5
Mn,8,273.4,217.7
Mn,10,151.4,126.2
Mn,15,50.27,44.14
Mn,20,22.53,20.15
Mn,30,7.141,6.382
Mn,40,3.169,2.757
Mn,50,1.714,1.425
Mn,60,1.06,0.8294
Mn,80,0.5306,0.3558
Mn,100,0.3367,0.1894
Mn,150,0.1838,0.07085
Mn,200,0.1391,0.04421
Mn,300,0.1062,0.03196
Mn,400,0.09133,0.02932
Mn,500,0.08192,0.02827
Mn,600,0.07509,0.0276
Mn,800,0.06537,0.02647
Mn,1000,0.05852,0.02541
Mn,1250,0.05224,0.02416
Mn,1500,0.04769,0.02307
Mn,2000,0.04162,0.02149
Mn,3000,0.03524,0.01989
Mn,4000,0.03213,0.01933
Mn,5000,0.03045,0.0192
Mn,6000,0.02952,0.0193
Mn,8000,0.02875,0.01973
Mn,10000,0.02871,0.02025
Mn,15000,0.02951,0.02127
Mn,20000,0.03068,0.02193
Mo,1,4942,4935
Mo,1.5,1925,1918
Mo,2,959.3,953.1
Mo,2.5202,541.5,535.8
Mo,2.5202,1979,1924
Mo,2.57212,1854,1802
Mo,2.6251,1750,1703
Mo,2.6251,2433,2360
Mo,2.74267,2183,2119
Mo,2.8655,1961,1906
Mo,2.8655,2243,2179
Mo,3,2011,1956
Mo,4,970.3,947.5
Mo,5,545,532.8
Mo,6,337.3,329.5
Mo,8,156.5,152.2
Mo,10,85.76,82.75
Mo,15,28.54,26.84
Mo,19.9995,13.08,11.93
Mo,19.9995,80.55,32.93
Mo,20,80.54,33.36
Mo,30,28.1,16.64
Mo,40,12.94,8.757
Mo,50,7.037,5.074
Mo,60,4.274,3.178
Mo,80,1.962,1.477
Mo,100,1.096,0.8042
Mo,150,0.4208,0.2693
Mo,200,0.2423,0.1316
Mo,300,0.1379,0.05919
Mo,400,0.1047,0.04117
Mo,500,0.08848,0.03437
Mo,600,0.07851,0.03104
Mo,800,0.06619,0.02764
Mo,1000,0.05837,0.02567
Mo,1250,0.05167,0.0239
Mo,1500,0.04713,0.02263
Mo,2000,0.04163,0.02118
Mo,3000,0.03675,0.02046
Mo,4000,0.03496,0.02084
Mo,5000,0.03439,0.02153
Mo,6000,0.0344,0.02231
Mo,8000,0.03523,0.02382
Mo,10000,0.0365,0.02513
Mo,15000,0.03978,0.02731
Mo,20000,0.04264,0.0284
N,1,3311,3306
N,1.5,1083,1080
N,2,476.9,475.5
N,3,145.6,144.7
N,4,61.66,60.94
N,5,31.44,30.86
N,6,18.09,17.59
N,8,7.562,7.17
N,10,3.879,3.545
N,15,1.236,0.9715
N,20,0.6178,0.3867
N,30,0.3066,0.1099
N,40,0.2288,0.05051
N,50,0.198,0.03217
N,60,0.1817,0.02548
N,80,0.1639,0.02211
N,100,0.1529,0.02231
N,150,0.1353,0.02472
N,200,0.1233,0.02665
N,300,0.1068,0.02873
N,400,0.09557,0.02952
N,500,0.08719,0.02969
N,600,0.08063,0.02956
N,800,0.07081,0.02886
N,1000,0.06364,0.02792
N,1250,0.05693,0.02669
N,1500,0.0518,0.0255
N,2000,0.0445,0.02347
N,3000,0.03579,0.02057
N,4000,0.03073,0.01867
N,5000,0.02742,0.01734
N,6000,0.02511,0.01639
N,8000,0.02209,0.01512
N,10000,0.02024,0.01434
N,15000,0.01782,0.01332
N,20000,0.01673,0.01285
Na,1,654.2,652.2
Na,1.03542,596,594.1
Na,1.0721,542.9,541
Na,1.0721,6435,6320
Na,1.5,3194,3151
Na,2,1521,1504
Na,3,507,502.3
Na,4,226.1,223.8
Na,5,119.4,117.8
Na,6,70.3,69.15
Na,8,30.18,29.41
Na,10,15.57,14.99
Na,15,4.694,4.313
Na,20,2.057,1.759
Na,30,0.7197,0.4928
Na,40,0.3969,0.2031
Na,50,0.2804,0.1063
Na,60,0.2268,0.06625
Na,80,0.1796,0.03761
Na,100,0.1585,0.02931
Na,150,0.1335,0.02579
Na,200,0.1199,0.02635
Na,300,0.1029,0.02771
Na,400,0.09185,0.02833
Na,500,0.08372,0.02845
Na,600,0.07736,0.0283
Na,800,0.06788,0.0276
Na,1000,0.061,0.02669
Na,1250,0.05454,0.02549
Na,1500,0.04968,0.02437
Na,2000,0.04282,0.02249
Na,3000,0.03487,0.01997
Na,4000,0.03037,0.01842
Na,5000,0.02753,0.01743
Na,6000,0.02559,0.01675
Na,8000,0.02319,0.01595
Na,10000,0.02181,0.01552
Na,15000,0.02023,0.01508
Na,20000,0.0197,0.01496
Nb,1,4600,4592
Nb,1.5,1786,1780
Nb,2,889.3,883.2
Nb,2.3705,584.4,578.6
Nb,2.3705,2181,2125
Nb,2.41714,2045,1992
Nb,2.4647,1935,1886
Nb,2.4647,2694,2619
Nb,2.57857,2412,2347
Nb,2.6977,2161,2104
Nb,2.6977,2470,2405
Nb,3,1906,1859
Nb,4,916.4,897
Nb,5,513.4,502.7
Nb,6,317.2,310.3
Nb,8,146.9,142.9
Nb,10,80.38,77.54
Nb,15,26.72,25.08
Nb,18.9856,14.09,12.91
Nb,18.9856,87.84,37.46
Nb,20,77.12,34.93
Nb,30,26.66,16.48
Nb,40,12.23,8.511
Nb,50,6.644,4.884
Nb,60,4.032,3.04
Nb,80,1.852,1.403
Nb,100,1.037,0.7608
Nb,150,0.4023,0.2542
Nb,200,0.2344,0.1247
Nb,300,0.1357,0.05705
Nb,400,0.104,0.04026
Nb,500,0.08831,0.03396
Nb,600,0.07858,0.03085
Nb,800,0.06642,0.02764
Nb,1000,0.05866,0.02575
Nb,1250,0.05196,0.02402
Nb,1500,0.04741,0.02276
Nb,2000,0.04185,0.0213
Nb,3000,0.03686,0.02054
Nb,4000,0.03498,0.02086
Nb,5000,0.03436,0.02153
Nb,6000,0.03432,0.02227
Nb,8000,0.03508,0.02375
Nb,10000,0.03628,0.02503
Nb,15000,0.03944,0.02718
Nb,20000,0.04224,0.02828
Nd,1,6627,6598
Nd,1.0025,6806,6776
Nd,1.005,6949,6918
Nd,1.005,8554,8516
Nd,1.14188,7579,7547
Nd,1.2974,5933,5908
Nd,1.2974,6833,6803
Nd,1.34907,6264,6236
Nd,1.4028,5744,5719
Nd,1.4028,6093,6066
Nd,1.5,5273,5250
Nd,1.5753,4738,4717
Nd,1.5753,4951,4929
Nd,2,2878,2864
Nd,3,1093,1084
Nd,4,536.6,529.4
Nd,5,306.1,300
Nd,6,192.7,187.4
Nd,6.2079,176.7,171.5
Nd,6.2079,489.2,448.4
Nd,6.4596,448.7,407.9
Nd,6.7215,401.3,369.4
Nd,6.7215,545.6,493.9
Nd,6.9208,513.5,461.4
Nd,7.126,472.3,429.3
Nd,7.126,544.8,493.6
Nd,8,409.4,373.9
Nd,10,230,212.5
Nd,15,79.25,73.76
Nd,20,36.84,34.07
Nd,30,12.47,11.21
Nd,40,5.809,5.033
Nd,43.5689,4.642,3.962
Nd,43.5689,23.66,7.296
Nd,50,16.5,6.418
Nd,60,10.33,4.928
Nd,80,4.839,2.815
Nd,100,2.687,1.706
Nd,150,0.9522,0.6376
Nd,200,0.4844,0.3133
Nd,300,0.2178,0.1236
Nd,400,0.1412,0.07177
Nd,500,0.1083,0.05157
Nd,600,0.0904,0.04174
Nd,800,0.07127,0.03258
Nd,1000,0.06072,0.02823
Nd,1250,0.05262,0.02505
Nd,1500,0.04769,0.02318
Nd,2000,0.04236,0.02148
Nd,3000,0.03856,0.02129
Nd,4000,0.03776,0.02233
Nd,5000,0.03806,0.0236
Nd,6000,0.03879,0.02483
Nd,8000,0.04081,0.02701
Nd,10000,0.04304,0.02876
Nd,15000,0.04832,0.03159
Nd,20000,0.05257,0.03283
Ne,1,7409,7326
Ne,1.5,2666,2645
Ne,2,1243,1234
Ne,3,405.1,402.1
Ne,4,178.5,176.7
Ne,5,93.39,92.14
Ne,6,54.67,53.69
Ne,8,23.28,22.6
Ne,10,11.97,11.43
Ne,15,3.613,3.253
Ne,20,1.606,1.317
Ne,30,0.5923,0.3676
Ne,40,0.3473,0.1528
Ne,50,0.2579,0.08182
Ne,60,0.2161,0.05287
Ne,80,0.1781,0.03273
Ne,100,0.16,0.02733
Ne,150,0.137,0.0259
Ne,200,0.1236,0.02697
Ne,300,0.1064,0.02862
Ne,400,0.09502,0.02931
Ne,500,0.08664,0.02946
Ne,600,0.08006,0.0293
Ne,800,0.07029,0.0286
Ne,1000,0.06316,0.02766
Ne,1250,0.05646,0.02641
Ne,1500,0.05145,0.02526
Ne,2000,0.0443,0.0233
Ne,3000,0.03594,0.02061
Ne,4000,0.03122,0.01894
Ne,5000,0.02818,0.01784
Ne,6000,0.0261,0.01709
Ne,8000,0.02348,0.01616
Ne,10000,0.02197,0.01564
Ne,15000,0.02013,0.01508
Ne,20000,0.01946,0.01491
Ni,1,9855,9797
Ni,1.00404,9753,9697
Ni,1.0081,9654,9598
Ni,1.0081,10990,10930
Ni,1.5,4234,4214
Ni,2,2049,2039
Ni,3,709.4,704.2
Ni,4,328.2,324.4
Ni,5,179.3,176.1
Ni,6,109,106.4
