# Transmission tube source spectra, Geant4 physics model G4EmStandardPhysics-option4.
# Tungsten target on a 250 um diamond substrate; simulated for the XCal paper (Optics Express 2025).
# apex_angle_deg: anode apex angle; voltage_kV: tube voltage; target_thickness_um: tungsten thickness;
# energy_keV: bin center; photons: relative photon count per 0.1 keV bin (absolute scale not used).
apex_angle_deg,voltage_kV,target_thickness_um,energy_keV,photons
1.7,40,1,20.3,13225531.19
1.7,40,1,20.4,12685713.59
1.7,40,1,20.5,11336169.59
1.7,40,1,20.6,11875987.19
1.7,40,1,20.7,13765348.78
1.7,40,1,20.8,12145895.99
1.7,40,1,20.9,12415804.79
1.7,40,1,21,13225531.19
1.7,40,1,21.1,9446807.99
1.7,40,1,21.2,14035257.58
1.7,40,1,21.3,10526443.19
1.7,40,1,21.4,11066260.79
1.7,40,1,21.5,13225531.19
1.7,40,1,21.6,9446807.99
1.7,40,1,21.7,12955622.39
1.7,40,1,21.8,11066260.79
1.7,40,1,21.9,8367172.791
1.7,40,1,22,9986625.589
1.7,40,1,22.1,11066260.79
1.7,40,1,22.2,10256534.39
1.7,40,1,22.3,9986625.589
1.7,40,1,22.4,9986625.589
1.7,40,1,22.5,9176899.19
1.7,40,1,22.6,10526443.19
1.7,40,1,22.7,10796351.99
1.7,40,1,22.8,9986625.589
1.7,40,1,22.9,10526443.19
1.7,40,1,23,10256534.39
1.7,40,1,23.1,8906990.39
1.7,40,1,23.2,11875987.19
1.7,40,1,23.3,11336169.59
1.7,40,1,23.4,10526443.19
1.7,40,1,23.5,12685713.59
1.7,40,1,23.6,10256534.39
1.7,40,1,23.7,6747719.993
1.7,40,1,23.8,11066260.79
1.7,40,1,23.9,10796351.99
1.7,40,1,24,8906990.39
1.7,40,1,24.1,5128267.194
1.7,40,1,24.2,8906990.39
1.7,40,1,24.3,11336169.59
1.7,40,1,24.4,8367172.791
1.7,40,1,24.5,8097263.991
1.7,40,1,24.6,10256534.39
1.7,40,1,24.7,8906990.39
1.7,40,1,24.8,9176899.19
1.7,40,1,24.9,7287537.592
1.7,40,1,25,7017628.792
1.7,40,1,25.1,8906990.39
1.7,40,1,25.2,8637081.591
1.7,40,1,25.3,11606078.39
1.7,40,1,25.4,8097263.991
1.7,40,1,25.5,6207902.393
1.7,40,1,25.6,7017628.792
1.7,40,1,25.7,7827355.191
1.7,40,1,25.8,12145895.99
1.7,40,1,25.9,7557446.392
1.7,40,1,26,10796351.99
1.7,40,1,26.1,6747719.993
1.7,40,1,26.2,7557446.392
1.7,40,1,26.3,6747719.993
1.7,40,1,26.4,6477811.193
1.7,40,1,26.5,10796351.99
1.7,40,1,26.6,7017628.792
1.7,40,1,26.7,7557446.392
1.7,40,1,26.8,9176899.19
1.7,40,1,26.9,8097263.991
1.7,40,1,27,8097263.991
1.7,40,1,27.1,6477811.193
1.7,40,1,27.2,7017628.792
1.7,40,1,27.3,5937993.594
1.7,40,1,27.4,7017628.792
1.7,40,1,27.5,5937993.594
1.7,40,1,27.6,8097263.991
1.7,40,1,27.7,7287537.592
1.7,40,1,27.8,8637081.591
1.7,40,1,27.9,4048631.996
1.7,40,1,28,5937993.594
1.7,40,1,28.1,6747719.993
1.7,40,1,28.2,7287537.592
1.7,40,1,28.3,5398175.994
1.7,40,1,28.4,7557446.392
1.7,40,1,28.5,5937993.594
1.7,40,1,28.6,4858358.395
1.7,40,1,28.7,8906990.39
1.7,40,1,28.8,7827355.191
1.7,40,1,28.9,4588449.595
1.7,40,1,29,3508814.396
1.7,40,1,29.1,5937993.594
1.7,40,1,29.2,6477811.193
1.7,40,1,29.3,5937993.594
1.7,40,1,29.4,7287537.592
1.7,40,1,29.5,7017628.792
1.7,40,1,29.6,6207902.393
1.7,40,1,29.7,6477811.193
1.7,40,1,29.8,5668084.794
1.7,40,1,29.9,3778723.196
1.7,40,1,30,6207902.393
1.7,40,1,30.1,4048631.996
1.7,40,1,30.2,8097263.991
1.7,40,1,30.3,5128267.194
1.7,40,1,30.4,5398175.994
1.7,40,1,30.5,7287537.592
1.7,40,1,30.6,4858358.395
1.7,40,1,30.7,4588449.595
1.7,40,1,30.8,5937993.594
1.7,40,1,30.9,5668084.794
1.7,40,1,31,4048631.996
1.7,40,1,31.1,7287537.592
1.7,40,1,31.2,5668084.794
1.7,40,1,31.3,5937993.594
1.7,40,1,31.4,4858358.395
1.7,40,1,31.5,4588449.595
1.7,40,1,31.6,3238905.596
1.7,40,1,31.7,4048631.996
1.7,40,1,31.8,6207902.393
1.7,40,1,31.9,4858358.395
1.7,40,1,32,5937993.594
1.7,40,1,32.1,4048631.996
1.7,40,1,32.2,4858358.395
1.7,40,1,32.3,4318540.795
1.7,40,1,32.4,5128267.194
1.7,40,1,32.5,5398175.994
1.7,40,1,32.6,2699087.997
1.7,40,1,32.7,3778723.196
1.7,40,1,32.8,5128267.194
1.7,40,1,32.9,4588449.595
1.7,40,1,33,4318540.795
1.7,40,1,33.1,3508814.396
1.7,40,1,33.2,3508814.396
1.7,40,1,33.3,2699087.997
1.7,40,1,33.4,3238905.596
1.7,40,1,33.5,4858358.395
1.7,40,1,33.6,4588449.595
1.7,40,1,33.7,5937993.594
1.7,40,1,33.8,3778723.196
1.7,40,1,33.9,4858358.395
1.7,40,1,34,3778723.196
1.7,40,1,34.1,4588449.595
1.7,40,1,34.2,5398175.994
1.7,40,1,34.3,4318540.795
1.7,40,1,34.4,2699087.997
1.7,40,1,34.5,1889361.598
1.7,40,1,34.6,3778723.196
1.7,40,1,34.7,2159270.398
1.7,40,1,34.8,2429179.197
1.7,40,1,34.9,4588449.595
1.7,40,1,35,4858358.395
1.7,40,1,35.1,2968996.797
1.7,40,1,35.2,4048631.996
1.7,40,1,35.3,4048631.996
1.7,40,1,35.4,2429179.197
1.7,40,1,35.5,2968996.797
1.7,40,1,35.6,2968996.797
1.7,40,1,35.7,4048631.996
1.7,40,1,35.8,3508814.396
1.7,40,1,35.9,2699087.997
1.7,40,1,36,2429179.197
1.7,40,1,36.1,2429179.197
1.7,40,1,36.2,2159270.398
1.7,40,1,36.3,2429179.197
1.7,40,1,36.4,2429179.197
1.7,40,1,36.5,2699087.997
1.7,40,1,36.6,2699087.997
1.7,40,1,36.7,3238905.596
1.7,40,1,36.8,1349543.999
1.7,40,1,36.9,1619452.798
1.7,40,1,37,1079635.199
1.7,40,1,37.1,1349543.999
1.7,40,1,37.2,1889361.598
1.7,40,1,37.3,2699087.997
1.7,40,1,37.4,1619452.798
1.7,40,1,37.5,1889361.598
1.7,40,1,37.6,2429179.197
1.7,40,1,37.7,1349543.999
1.7,40,1,37.8,809726.3991
1.7,40,1,37.9,2429179.197
1.7,40,1,38,1079635.199
1.7,40,1,38.1,1079635.199
