# Measured source spectrum of ALS Beamline 8.3.2 (Advanced Light Source, LBNL).
# Non-uniform energy bins; energy_keV is the bin edge in keV, photon_counts the counts in the bin.
energy_keV,photon_counts
2.93045,3.1142e+12
2.9713,3.42958e+12
3.01271,3.7652e+12
3.05471,4.11126e+12
3.09729,4.47419e+12
3.14047,4.85658e+12
3.18424,5.25647e+12
3.22863,5.6618e+12
3.27363,6.0873e+12
3.31927,6.53355e+12
3.36553,6.97945e+12
3.41245,7.4418e+12
3.46002,7.91897e+12
3.50825,8.40092e+12
3.55715,8.89103e+12
3.60673,9.39282e+12
3.65701,9.90474e+12
3.70799,1.04128e+13
3.75968,1.09292e+13
3.81208,1.1455e+13
3.86522,1.19841e+13
3.9191,1.25082e+13
3.97373,1.30419e+13
4.02912,1.35763e+13
4.08529,1.4101e+13
4.14223,1.46302e+13
4.19997,1.51636e+13
4.25852,1.56932e+13
4.31788,1.62167e+13
4.37807,1.6739e+13
4.4391,1.72587e+13
4.50098,1.77669e+13
4.56372,1.82728e+13
4.62733,1.87771e+13
4.69183,1.92747e+13
4.75724,1.976e+13
4.82355,2.02413e+13
4.89079,2.07184e+13
4.95896,2.11852e+13
5.02809,2.16431e+13
5.09818,2.20927e+13
5.16924,2.25381e+13
5.2413,2.29702e+13
5.31436,2.33967e+13
5.38844,2.38167e+13
5.46355,2.422e+13
5.53971,2.46175e+13
5.61693,2.50096e+13
5.69523,2.53923e+13
5.77462,2.57591e+13
5.85511,2.61201e+13
5.93673,2.64752e+13
6.01948,2.68164e+13
6.10339,2.71454e+13
6.18847,2.74683e+13
6.27473,2.77846e+13
6.3622,2.80851e+13
6.45088,2.83788e+13
6.54081,2.86655e+13
6.63198,2.8939e+13
6.72443,2.92043e+13
6.81816,2.94617e+13
6.9132,2.97087e+13
7.00957,2.99446e+13
7.10728,3.01727e+13
7.20635,3.03924e+13
7.3068,3.05998e+13
7.40866,3.07986e+13
7.51193,3.09899e+13
7.61664,3.11728e+13
7.72281,3.13436e+13
7.83047,3.15069e+13
7.93962,3.16627e+13
8.05029,3.18072e+13
8.16251,3.19423e+13
8.27629,3.207e+13
8.39166,3.21889e+13
8.50863,3.2298e+13
8.62724,3.23998e+13
8.7475,3.24936e+13
8.86943,3.25759e+13
8.99307,3.26505e+13
9.11842,3.27172e+13
9.24553,3.2775e+13
9.37441,3.28235e+13
9.50508,3.28645e+13
9.63758,3.28976e+13
9.77192,3.29198e+13
9.90814,3.29347e+13
10.0463,3.29417e+13
10.1863,3.29392e+13
10.3283,3.29314e+13
10.4723,3.29133e+13
10.6182,3.28858e+13
10.7662,3.28503e+13
10.9163,3.28074e+13
