# Transmission tube source spectra, Geant4 physics model G4EmStandardPhysics.
# Tungsten target on a 250 um diamond substrate; simulated for the XCal paper (Optics Express 2025).
# apex_angle_deg: anode apex angle; voltage_kV: tube voltage; target_thickness_um: tungsten thickness;
# energy_keV: bin center; photons: relative photon count per 0.1 keV bin (absolute scale not used).
apex_angle_deg,voltage_kV,target_thickness_um,energy_keV,photons
1.7,40,1,20.2,14153863.59
1.7,40,1,20.3,13939411.11
1.7,40,1,20.4,14689994.79
1.7,40,1,20.5,15655030.94
1.7,40,1,20.6,15440578.46
1.7,40,1,20.7,14475542.31
1.7,40,1,20.8,15011673.5
1.7,40,1,20.9,14689994.79
1.7,40,1,21,13617732.39
1.7,40,1,21.1,13510506.15
1.7,40,1,21.2,11794886.32
1.7,40,1,21.3,13724958.63
1.7,40,1,21.4,16727293.33
1.7,40,1,21.5,13617732.39
1.7,40,1,21.6,13724958.63
1.7,40,1,21.7,13939411.11
1.7,40,1,21.8,13081601.2
1.7,40,1,21.9,13296053.67
1.7,40,1,22,11473207.61
1.7,40,1,22.1,12759922.48
1.7,40,1,22.2,12759922.48
1.7,40,1,22.3,11580433.85
1.7,40,1,22.4,12116565.04
1.7,40,1,22.5,14046637.35
1.7,40,1,22.6,14261089.83
1.7,40,1,22.7,12545470
1.7,40,1,22.8,14582768.55
1.7,40,1,22.9,11902112.56
1.7,40,1,23,11365981.37
1.7,40,1,23.1,13403279.91
1.7,40,1,23.2,13081601.2
1.7,40,1,23.3,14046637.35
1.7,40,1,23.4,11687660.09
1.7,40,1,23.5,10508171.45
1.7,40,1,23.6,12652696.24
1.7,40,1,23.7,10186492.73
1.7,40,1,23.8,11473207.61
1.7,40,1,23.9,11151528.89
1.7,40,1,24,10937076.41
1.7,40,1,24.1,11902112.56
1.7,40,1,24.2,11365981.37
1.7,40,1,24.3,10079266.5
1.7,40,1,24.4,9757587.777
1.7,40,1,24.5,10615397.69
1.7,40,1,24.6,10615397.69
1.7,40,1,24.7,11902112.56
1.7,40,1,24.8,9435909.06
1.7,40,1,24.9,11580433.85
1.7,40,1,25,9972040.256
1.7,40,1,25.1,9435909.06
1.7,40,1,25.2,10186492.73
1.7,40,1,25.3,9543135.299
1.7,40,1,25.4,10079266.5
1.7,40,1,25.5,9972040.256
1.7,40,1,25.6,9543135.299
1.7,40,1,25.7,9864814.017
1.7,40,1,25.8,11151528.89
1.7,40,1,25.9,9114230.342
1.7,40,1,26,10079266.5
1.7,40,1,26.1,11794886.32
1.7,40,1,26.2,9650361.538
1.7,40,1,26.3,10079266.5
1.7,40,1,26.4,9435909.06
1.7,40,1,26.5,11151528.89
1.7,40,1,26.6,10400945.21
1.7,40,1,26.7,9864814.017
1.7,40,1,26.8,9650361.538
1.7,40,1,26.9,11151528.89
1.7,40,1,27,9328682.82
1.7,40,1,27.1,7720289.231
1.7,40,1,27.2,10508171.45
1.7,40,1,27.3,11794886.32
1.7,40,1,27.4,10079266.5
1.7,40,1,27.5,9543135.299
1.7,40,1,27.6,10722623.93
1.7,40,1,27.7,7934741.709
1.7,40,1,27.8,8685325.384
1.7,40,1,27.9,10186492.73
1.7,40,1,28,10079266.5
1.7,40,1,28.1,8470872.906
1.7,40,1,28.2,7613062.991
1.7,40,1,28.3,7720289.231
1.7,40,1,28.4,8149194.188
1.7,40,1,28.5,9757587.777
1.7,40,1,28.6,5682990.684
1.7,40,1,28.7,8578099.145
1.7,40,1,28.8,9221456.581
1.7,40,1,28.9,7720289.231
1.7,40,1,29,7398610.513
1.7,40,1,29.1,7613062.991
1.7,40,1,29.2,6111895.641
1.7,40,1,29.3,7505836.752
1.7,40,1,29.4,7720289.231
1.7,40,1,29.5,6219121.88
1.7,40,1,29.6,8149194.188
1.7,40,1,29.7,7934741.709
1.7,40,1,29.8,9328682.82
1.7,40,1,29.9,8256420.427
1.7,40,1,30,7613062.991
1.7,40,1,30.1,7827515.47
1.7,40,1,30.2,7827515.47
1.7,40,1,30.3,7505836.752
1.7,40,1,30.4,6004669.402
1.7,40,1,30.5,7505836.752
1.7,40,1,30.6,6111895.641
1.7,40,1,30.7,6540800.598
1.7,40,1,30.8,8256420.427
1.7,40,1,30.9,6111895.641
1.7,40,1,31,7934741.709
1.7,40,1,31.1,5682990.684
1.7,40,1,31.2,5897443.162
1.7,40,1,31.3,6755253.077
1.7,40,1,31.4,6433574.359
1.7,40,1,31.5,6326348.119
1.7,40,1,31.6,6111895.641
1.7,40,1,31.7,5575764.444
1.7,40,1,31.8,5468538.205
1.7,40,1,31.9,6540800.598
1.7,40,1,32,4717954.53
1.7,40,1,32.1,7291384.273
1.7,40,1,32.2,5575764.444
1.7,40,1,32.3,6862479.316
1.7,40,1,32.4,7720289.231
1.7,40,1,32.5,5575764.444
1.7,40,1,32.6,5575764.444
1.7,40,1,32.7,5575764.444
1.7,40,1,32.8,6004669.402
