# Transmission tube source spectra, Geant4 physics model G4EmPenelopePhysics.
# Tungsten target on a 250 um diamond substrate; simulated for the XCal paper (Optics Express 2025).
# apex_angle_deg: anode apex angle; voltage_kV: tube voltage; target_thickness_um: tungsten thickness;
# energy_keV: bin center; photons: relative photon count per 0.1 keV bin (absolute scale not used).
apex_angle_deg,voltage_kV,target_thickness_um,energy_keV,photons
1.7,40,1,20.4,11479471.68
1.7,40,1,20.5,9928191.725
1.7,40,1,20.6,12410239.66
1.7,40,1,20.7,9617935.734
1.7,40,1,20.8,13961519.61
1.7,40,1,20.9,11789727.67
1.7,40,1,21,11169215.69
1.7,40,1,21.1,7446143.794
1.7,40,1,21.2,15823055.56
1.7,40,1,21.3,9928191.725
1.7,40,1,21.4,7135887.803
1.7,40,1,21.5,8687167.76
1.7,40,1,21.6,11169215.69
1.7,40,1,21.7,12410239.66
1.7,40,1,21.8,9928191.725
1.7,40,1,21.9,8376911.768
1.7,40,1,22,11169215.69
1.7,40,1,22.1,8997423.751
1.7,40,1,22.2,6205119.828
1.7,40,1,22.3,7135887.803
1.7,40,1,22.4,10238447.72
1.7,40,1,22.5,7446143.794
1.7,40,1,22.6,8997423.751
1.7,40,1,22.7,11169215.69
1.7,40,1,22.8,8376911.768
1.7,40,1,22.9,8997423.751
1.7,40,1,23,6825631.811
1.7,40,1,23.1,9617935.734
1.7,40,1,23.2,11479471.68
1.7,40,1,23.3,12410239.66
1.7,40,1,23.4,6825631.811
1.7,40,1,23.5,8376911.768
1.7,40,1,23.6,10548703.71
1.7,40,1,23.7,5274351.854
1.7,40,1,23.8,7135887.803
1.7,40,1,23.9,8997423.751
1.7,40,1,24,5274351.854
1.7,40,1,24.1,4343583.88
1.7,40,1,24.2,6205119.828
1.7,40,1,24.3,7446143.794
1.7,40,1,24.4,7446143.794
1.7,40,1,24.5,8687167.76
1.7,40,1,24.6,7446143.794
1.7,40,1,24.7,9928191.725
1.7,40,1,24.8,6515375.82
1.7,40,1,24.9,6515375.82
1.7,40,1,25,8376911.768
1.7,40,1,25.1,7756399.785
1.7,40,1,25.2,8066655.777
1.7,40,1,25.3,4653839.871
1.7,40,1,25.4,9307679.742
1.7,40,1,25.5,7446143.794
1.7,40,1,25.6,8997423.751
1.7,40,1,25.7,11479471.68
1.7,40,1,25.8,6515375.82
1.7,40,1,25.9,6515375.82
1.7,40,1,26,9307679.742
1.7,40,1,26.1,8376911.768
1.7,40,1,26.2,6825631.811
1.7,40,1,26.3,7756399.785
1.7,40,1,26.4,8687167.76
1.7,40,1,26.5,5584607.845
1.7,40,1,26.6,8687167.76
1.7,40,1,26.7,6825631.811
1.7,40,1,26.8,5584607.845
1.7,40,1,26.9,9307679.742
1.7,40,1,27,7756399.785
1.7,40,1,27.1,5894863.837
1.7,40,1,27.2,7135887.803
1.7,40,1,27.3,5894863.837
1.7,40,1,27.4,5274351.854
1.7,40,1,27.5,5584607.845
1.7,40,1,27.6,7756399.785
1.7,40,1,27.7,4964095.863
1.7,40,1,27.8,6825631.811
1.7,40,1,27.9,5584607.845
1.7,40,1,28,4343583.88
1.7,40,1,28.1,5584607.845
1.7,40,1,28.2,4653839.871
1.7,40,1,28.3,5894863.837
1.7,40,1,28.4,2792303.923
1.7,40,1,28.5,6205119.828
1.7,40,1,28.6,6825631.811
1.7,40,1,28.7,7135887.803
1.7,40,1,28.8,4033327.888
1.7,40,1,28.9,3412815.906
1.7,40,1,29,4964095.863
1.7,40,1,29.1,5274351.854
1.7,40,1,29.2,4033327.888
1.7,40,1,29.3,6205119.828
1.7,40,1,29.4,3102559.914
1.7,40,1,29.5,4033327.888
1.7,40,1,29.6,5584607.845
1.7,40,1,29.7,4343583.88
1.7,40,1,29.8,4033327.888
1.7,40,1,29.9,3412815.906
1.7,40,1,30,3412815.906
1.7,40,1,30.1,2792303.923
1.7,40,1,30.2,7446143.794
1.7,40,1,30.3,6205119.828
1.7,40,1,30.4,6515375.82
1.7,40,1,30.5,3723071.897
1.7,40,1,30.6,4343583.88
1.7,40,1,30.7,5894863.837
1.7,40,1,30.8,5584607.845
1.7,40,1,30.9,2792303.923
1.7,40,1,31,3102559.914
1.7,40,1,31.1,4964095.863
1.7,40,1,31.2,4343583.88
1.7,40,1,31.3,4653839.871
1.7,40,1,31.4,2482047.931
1.7,40,1,31.5,4653839.871
1.7,40,1,31.6,4343583.88
1.7,40,1,31.7,3412815.906
1.7,40,1,31.8,2171791.94
1.7,40,1,31.9,3412815.906
1.7,40,1,32,3412815.906
1.7,40,1,32.1,4343583.88
1.7,40,1,32.2,4343583.88
1.7,40,1,32.3,3102559.914
1.7,40,1,32.4,3723071.897
1.7,40,1,32.5,4033327.888
1.7,40,1,32.6,3723071.897
1.7,40,1,32.7,4653839.871
1.7,40,1,32.8,4033327.888
1.7,40,1,32.9,3412815.906
1.7,40,1,33,3412815.906
1.7,40,1,33.1,2482047.931
1.7,40,1,33.2,2792303.923
1.7,40,1,33.3,4033327.888
1.7,40,1,33.4,2171791.94
1.7,40,1,33.5,2482047.931
1.7,40,1,33.6,4033327.888
1.7,40,1,33.7,4653839.871
1.7,40,1,33.8,3102559.914
1.7,40,1,33.9,1551279.957
1.7,40,1,34,4343583.88
1.7,40,1,34.1,2482047.931
1.7,40,1,34.2,2482047.931
1.7,40,1,34.3,2482047.931
1.7,40,1,34.4,2482047.931
1.7,40,1,34.5,2482047.931
1.7,40,1,34.6,2482047.931
1.7,40,1,34.7,4343583.88
1.7,40,1,34.8,2482047.931
1.7,40,1,34.9,5274351.854
1.7,40,1,35,2792303.923
1.7,40,1,35.1,2171791.94
1.7,40,1,35.2,2171791.94
1.7,40,1,35.3,1861535.948
1.7,40,1,35.4,3102559.914
1.7,40,1,35.5,2171791.94
1.7,40,1,35.6,3102559.914
1.7,40,1,35.7,2792303.923
1.7,40,1,35.8,310255.9914
1.7,40,1,35.9,2482047.931
1.7,40,1,36,3102559.914
1.7,40,1,36.1,1551279.957
1.7,40,1,36.2,2171791.94
1.7,40,1,36.3,2792303.923
1.7,40,1,36.4,1241023.966
1.7,40,1,36.5,1551279.957
1.7,40,1,36.6,3102559.914
1.7,40,1,36.7,1241023.966
1.7,40,1,36.8,2792303.923
1.7,40,1,36.9,2482047.931
1.7,40,1,37,1861535.948
1.7,40,1,37.1,1241023.966
1.7,40,1,37.2,1551279.957
1.7,40,1,37.3,2171791.94
1.7,40,1,37.4,2171791.94
1.7,40,1,37.5,2482047.931
1.7,40,1,37.6,1241023.966
1.7,40,1,37.7,1241023.966
1.7,40,1,37.8,310255.9914
1.7,40,1,37.9,620511.9828
1.7,40,1,38,310255.9914
1.7,40,1,38.1,930767.9742
1.7,40,1,38.2,1861535.948
1.7,40,1,38.3,620511.9828
1.7,40,1,38.4,1551279.957
1.7,40,1,38.5,310255.9914
1.7,40,1,38.6,620511.9828
1.7,40,1,38.7,1241023.966
1.7,40,1,38.8,1551279.957
1.7,40,1,38.9,310255.9914
1.7,40,1,39,1241023.966
1.7,40,1,39.1,310255.9914
1.7,40,1,39.2,930767.9742
1.7,40,1,39.3,930767.9742
